Long,Lat,type,name
-71.1370766,42.3539041,restaurant,Deep Ellum
-71.1152653,42.350639,restaurant,Otto's Pizza
-71.0568731,42.3188243,restaurant,Pantry Pizza
-71.0951372,42.3495134,restaurant,UBurger Restaurant
-71.0700235,42.4013224,restaurant,Chuck E. Cheese's
-71.0952642,42.3494898,restaurant,Fin's Sushi + Grill
-71.0961765,42.3485601,restaurant,Eastern Standard
-71.0951095,42.3485987,restaurant,Island Creek Oyster Bar
-71.115618,42.3507339,restaurant,Life Alive
-71.1220615,42.3516135,restaurant,Angora
-71.122218,42.3516121,restaurant,Kayuga
-71.7529129,42.2721348,restaurant,Chumlee's
-71.0695882,42.3506069,restaurant,McCormick & Schmick's
-71.0652645,42.3512333,restaurant,Rock Bottom
-71.0644009,42.3512254,restaurant,Montien
-71.7499457,42.2758581,restaurant,Lakeside Grill
-71.7532053,42.2734248,restaurant,Osaka
-71.7509731,42.2742641,restaurant,2Ovens
-71.7539342,42.2738899,restaurant,Thai Place
-71.7762154,42.2671552,restaurant,Chioda's Trattoria
-71.1197175,42.3893688,restaurant,Yume Wo Katare
-71.0918025,41.9024352,restaurant,Fusion Kitchen
-71.0751068,42.5742231,restaurant,Hornet's Nest
-71.1634187,42.323134,restaurant,Oishii Sushi Bar
-71.1633191,42.3230584,restaurant,Chestnut Hill Restaurant
-71.1692454,42.3226975,restaurant,Legal Seafood
-71.1665095,42.323336,restaurant,Aquitaine
-71.0380456,42.7628682,restaurant,Haverhill House of Pizza
-71.0861703,42.7748594,restaurant,Krueger Flatbread
-71.3576404,42.4567455,restaurant,80 Thoreau
-71.032738,42.7630277,restaurant,Groveland Diner
-71.018347,42.7361012,restaurant,Cafe 97
-70.9945682,42.7265301,restaurant,Best Bagel
-71.1027692,42.8091433,restaurant,Friendly's Ice Cream Shop
-71.1020718,42.8092378,restaurant,Mr. Mike's Restaurant & Lounge
-71.1032576,42.8141295,restaurant,Uno Chicago Grill
-71.0210889,42.7392369,restaurant,Tea Garden Restaurant
-71.7921349,42.2602543,restaurant,Pepe's
-71.0856224,42.7726569,restaurant,The Lasting Room
-71.0834277,42.7742867,restaurant,Essex Street Grille
-71.0854406,42.7729618,restaurant,Keon's 105 Bistro
-71.0851252,42.7728356,restaurant,Hans Garden
-71.1151481,42.7711041,restaurant,99 Restaurant
-71.1146842,42.7706032,restaurant,Papa Gino's
-71.0531975,42.8021654,restaurant,Seafood Etc.
-71.077584,42.772298,restaurant,Roma Ristorante
-72.6002535,42.2624639,restaurant,Dockside Restaurant
-71.9897879,42.3025976,restaurant,Black&White Grille
-71.0972166,42.3630947,restaurant,Salts
-71.1025118,42.3649038,restaurant,Dosa Factory
-72.6512425,42.1863722,restaurant,Dino's Pizza
-70.6088949,41.6600221,restaurant,The Parrot
-70.607645,41.6610882,restaurant,The Courtyard
-70.6156648,41.6766683,restaurant,Chart Room
-70.6718808,41.5269328,restaurant,Cafe Swope
-70.669836,41.5235647,restaurant,Landfall
-72.7545329,42.3243766,restaurant,Strawbale Café
-71.7593963,42.2453432,restaurant,Friendly's
-71.0273177,42.3331084,restaurant,Local 149
-71.0274312,42.33778,restaurant,The Galley Diner
-71.1674012,42.3400046,restaurant,White Mountain Creamery
-71.166637,42.3402047,restaurant,Crazy Dough's
-71.5882323,42.5596924,restaurant,Lucia’s Tavola
-71.4314812,42.5607147,restaurant,Bamboo
-71.1427655,42.343274,restaurant,Bamboo
-71.1426974,42.3433614,restaurant,Tasca
-72.5631738,42.4511618,restaurant,Dove's Nest
-71.6131893,42.3549519,restaurant,Bertucci's
-71.1103861,42.3217745,restaurant,The Haven
